Result Number,Satellite,Date,Beam Mode,Polarization,Type,Image Info,Metadata,Download Link,Sequence ID,Footprint
18,RADARSAT-1,2012-12-12T22:46:47 +0000,ScanSAR Wide A (W1 W2 W3 S7),HH,SCW,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"4956796" "relatedProducts":[{"values":["SCW" "Ice" "50.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2012/12/RS1_C0629214_SCWA_20121212_224647_HH_SCW01F.tif,4956796,-79.438826 51.694359 -71.469077 52.605908 -72.668977 57.765017 -81.706375 56.819038 -79.438826 51.694359 
19,RADARSAT-1,2012-12-12T11:21:37 +0000,ScanSAR Wide A (W1 W2 W3 S7),HH,SCW,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"4956788" "relatedProducts":[{"values":["SCW" "Ice" "50.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2012/12/RS1_C0629197_SCWA_20121212_112137_HH_SCW01F.tif,4956788,-71.546939 55.898277 -80.357900 56.832030 -81.465086 51.983148 -73.610951 51.077843 -71.546939 55.898277 
20,RADARSAT-1,2012-12-12T11:20:22 +0000,ScanSAR Wide A (W1 W2 W3 S7),HH,SCW,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"4956783" "relatedProducts":[{"values":["SCW" "Ice" "50.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2012/12/RS1_B0629197_SCWA_20121212_112022_HH_SCW01F.tif,4956783,-69.295133 60.237351 -79.328339 61.221954 -80.524548 56.399976 -71.750361 55.465551 -69.295133 60.237351 
21,RADARSAT-1,2012-12-11T11:51:00 +0000,ScanSAR Wide A (W1 W2 W3 S7),HH,SCW,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"4956764" "relatedProducts":[{"values":["SCW" "Ice" "50.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2012/12/RS1_C0629032_SCWA_20121211_115100_HH_SCW01F.tif,4956764,-78.889639 55.916447 -87.735730 56.852196 -88.781269 52.268239 -80.850734 51.359823 -78.889639 55.916447 
22,RADARSAT-1,2012-12-11T11:49:45 +0000,ScanSAR Wide A (W1 W2 W3 S7),HH,SCW,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"4956763" "relatedProducts":[{"values":["SCW" "Ice" "50.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2012/12/RS1_B0629032_SCWA_20121211_114945_HH_SCW01F.tif,4956763,-76.630395 60.256543 -86.675069 61.241818 -87.872845 56.413206 -79.090986 55.478286 -76.630395 60.256543 
23,RADARSAT-1,2012-12-08T11:38:26 +0000,ScanSAR Wide A (W1 W2 W3 S7),HH,SCW,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"4956696" "relatedProducts":[{"values":["SCW" "Ice" "50.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2012/12/RS1_C0629209_SCWA_20121208_113826_HH_SCW01F.tif,4956696,-75.786460 55.807978 -84.576729 56.741219 -85.680441 51.902021 -77.840203 50.996843 -75.786460 55.807978 
24,RADARSAT-1,2012-12-08T11:37:11 +0000,ScanSAR Wide A (W1 W2 W3 S7),HH,SCW,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"4956697" "relatedProducts":[{"values":["SCW" "Ice" "50.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2012/12/RS1_B0629209_SCWA_20121208_113711_HH_SCW01F.tif,4956697,-73.535103 60.162174 -83.545059 61.145994 -84.740526 56.320018 -75.984222 55.385982 -73.535103 60.162174 
25,RADARSAT-1,2012-12-05T22:51:41 +0000,ScanSAR Wide A (W1 W2 W3 S7),HH,SCW,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"4954578" "relatedProducts":[{"values":["SCW" "Ice" "50.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2012/12/RS1_C0629075_SCWA_20121205_225141_HH_SCW01F.tif,4954578,-81.511193 54.123615 -73.092488 55.047574 -73.696849 57.588123 -82.675339 56.644589 -81.511193 54.123615 
26,RADARSAT-1,2012-12-05T11:25:57 +0000,ScanSAR Wide A (W1 W2 W3 S7),HH,SCW,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"4956666" "relatedProducts":[{"values":["SCW" "Ice" "50.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2012/12/RS1_C0629152_SCWA_20121205_112557_HH_SCW01F.tif,4956666,-72.811689 55.433640 -81.512802 56.363633 -82.613741 51.507477 -74.844090 50.604106 -72.811689 55.433640 
27,RADARSAT-1,2012-12-05T11:24:42 +0000,ScanSAR Wide A (W1 W2 W3 S7),HH,SCW,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"4956665" "relatedProducts":[{"values":["SCW" "Ice" "50.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2012/12/RS1_B0629152_SCWA_20121205_112442_HH_SCW01F.tif,4956665,-70.608013 59.772274 -80.494207 60.750564 -81.676963 55.934978 -73.009809 55.004065 -70.608013 59.772274 
28,RADARSAT-1,2012-12-04T11:55:00 +0000,ScanSAR Wide A (W1 W2 W3 S7),HH,SCW,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"4956637" "relatedProducts":[{"values":["SCW" "Ice" "50.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2012/12/RS1_C0629115_SCWA_20121204_115500_HH_SCW01F.tif,4956637,-79.598752 56.619633 -88.585569 57.560164 -89.692501 52.775678 -81.694165 51.866412 -79.598752 56.619633 
29,RADARSAT-1,2012-12-04T11:53:44 +0000,ScanSAR Wide A (W1 W2 W3 S7),HH,SCW,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"4956639" "relatedProducts":[{"values":["SCW" "Ice" "50.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2012/12/RS1_B0629115_SCWA_20121204_115344_HH_SCW01F.tif,4956639,-77.270667 60.952475 -87.542130 61.948279 -88.758371 57.128474 -79.808417 56.187420 -77.270667 60.952475 
30,RADARSAT-1,2012-12-02T22:39:14 +0000,ScanSAR Wide A (W1 W2 W3 S7),HH,SCW,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"4956535" "relatedProducts":[{"values":["SCW" "Ice" "50.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2012/12/RS1_A0628795_SCWA_20121202_223914_HH_SCW01F.tif,4956535,-78.503622 54.704732 -69.963390 55.624573 -71.131120 60.422035 -80.853358 59.457730 -78.503622 54.704732 
31,RADARSAT-1,2012-12-01T23:08:37 +0000,ScanSAR Wide A (W1 W2 W3 S7),HH,SCW,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"4956603" "relatedProducts":[{"values":["SCW" "Ice" "50.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2012/12/RS1_B0629089_SCWA_20121201_230837_HH_SCW01F.tif,4956603,-85.870487 54.697105 -77.384206 55.614796 -78.560947 60.404354 -88.218656 59.441877 -85.870487 54.697105 
32,RADARSAT-1,2012-12-01T23:07:22 +0000,ScanSAR Wide A (W1 W2 W3 S7),HH,SCW,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"4956517" "relatedProducts":[{"values":["SCW" "Ice" "50.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2012/12/RS1_A0629089_SCWA_20121201_230722_HH_SCW01F.tif,4956517,-84.116800 50.295036 -76.418536 51.196904 -77.511612 56.024681 -86.115895 55.097346 -84.116800 50.295036 
33,RADARSAT-1,2012-12-01T11:42:05 +0000,ScanSAR Wide A (W1 W2 W3 S7),HH,SCW,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"4956586" "relatedProducts":[{"values":["SCW" "Ice" "50.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2012/12/RS1_C0628906_SCWA_20121201_114205_HH_SCW01F.tif,4956586,-75.935592 57.718498 -85.196737 58.667193 -86.337232 53.819890 -78.145674 52.907438 -75.935592 57.718498 
34,RADARSAT-1,2012-11-28T22:56:07 +0000,ScanSAR Wide A (W1 W2 W3 S7),HH,SCW,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"4956528" "relatedProducts":[{"values":["SCW" "Ice" "50.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2012/11/RS1_B0629002_SCWA_20121128_225607_HH_SCW01F.tif,4956528,-82.886774 55.028893 -74.283914 55.953394 -75.469620 60.756465 -85.279809 59.784922 -82.886774 55.028893 
35,RADARSAT-1,2012-11-28T22:54:51 +0000,ScanSAR Wide A (W1 W2 W3 S7),HH,SCW,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"4956524" "relatedProducts":[{"values":["SCW" "Ice" "50.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2012/11/RS1_A0629002_SCWA_20121128_225451_HH_SCW01F.tif,4956524,-81.111125 50.638469 -73.316323 51.545681 -74.409992 56.362289 -83.131643 55.428286 -81.111125 50.638469 
36,RADARSAT-1,2012-11-27T11:58:42 +0000,ScanSAR Wide A (W1 W2 W3 S7),HH,SCW,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"4956438" "relatedProducts":[{"values":["SCW" "Ice" "50.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2012/11/RS1_C0628927_SCWA_20121127_115842_HH_SCW01F.tif,4956438,-79.836790 58.242466 -89.263068 59.200118 -90.490717 54.020885 -82.237439 53.104192 -79.836790 58.242466 
37,RADARSAT-1,2012-11-25T22:46:03 +0000,ScanSAR Wide A (W1 W2 W3 S7),HH,SCW,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"4956138" "relatedProducts":[{"values":["SCW" "Sea" "50.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2012/11/RS1_M0628561_SCWA_20121125_224327_HH_SCW.tif,4956138,-79.635614 54.839253 -70.921619 55.772136 -73.249700 64.886931 -84.663422 63.838658 -79.635614 54.839253 
38,RADARSAT-1,2012-11-25T11:17:31 +0000,ScanSAR Wide A (W1 W2 W3 S7),HH,SCW,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"4956470" "relatedProducts":[{"values":["SCW" "Ice" "50.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2012/11/RS1_D0628872_SCWA_20121125_111731_HH_SCW01F.tif,4956470,-70.738986 55.424381 -79.427263 56.351455 -80.525974 51.493392 -72.767894 50.592577 -70.738986 55.424381 
39,RADARSAT-1,2012-11-25T11:16:16 +0000,ScanSAR Wide A (W1 W2 W3 S7),HH,SCW,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"4956471" "relatedProducts":[{"values":["SCW" "Ice" "50.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2012/11/RS1_C0628872_SCWA_20121125_111616_HH_SCW01F.tif,4956471,-68.537496 59.768658 -78.374088 60.741469 -79.561866 55.909897 -70.941446 54.984173 -68.537496 59.768658 
40,RADARSAT-1,2012-11-21T23:00:26 +0000,ScanSAR Wide A (W1 W2 W3 S7),HH,SCW,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"4956268" "relatedProducts":[{"values":["SCW" "Sea" "50.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2012/11/RS1_M0628804_SCWA_20121121_225901_HH_SCW.tif,4956268,-82.084108 50.564094 -74.311158 51.467442 -75.431122 56.421508 -84.156339 55.491206 -82.084108 50.564094 
41,RADARSAT-1,2012-11-21T11:34:03 +0000,ScanSAR Wide A (W1 W2 W3 S7),HH,SCW,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"4956388" "relatedProducts":[{"values":["SCW" "Ice" "50.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2012/11/RS1_D0628770_SCWA_20121121_113403_HH_SCW01F.tif,4956388,-74.503475 56.350617 -83.411846 57.285767 -84.526724 52.431654 -76.601614 51.526572 -74.503475 56.350617 
42,RADARSAT-1,2012-11-21T11:32:47 +0000,ScanSAR Wide A (W1 W2 W3 S7),HH,SCW,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"4956371" "relatedProducts":[{"values":["SCW" "Ice" "50.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2012/11/RS1_C0628770_SCWA_20121121_113247_HH_SCW01F.tif,4956371,-72.208689 60.685901 -82.336582 61.671931 -83.548362 56.847973 -74.712081 55.914591 -72.208689 60.685901 
